,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-03-29,36,1,0,0,0,23,1,0,8,0,1,5,0,16,2,0,0,489,1,7,NA,1,1,0,0,2,0,23,74,18,0,44,36,1,33,121,50,34,7,46,15,141,0,0,0,7,7,20,0,0,0,6,1,24,2,2
2020-03-30,59,0,4,0,0,25,0,0,10,0,1,19,0,18,2,0,0,601,1,10,NA,2,1,0,0,11,3,26,98,19,0,60,45,1,67,146,58,28,5,56,19,153,0,1,0,15,7,17,0,0,0,5,1,25,2,3
2020-03-31,56,0,4,0,0,27,0,10,30,0,1,12,0,14,1,0,0,713,1,9,NA,0,3,0,0,11,1,36,105,18,0,80,53,1,82,158,67,44,7,60,19,155,1,1,0,15,8,20,0,0,0,6,0,21,3,2
2020-04-01,52,0,5,0,0,31,0,14,19,0,1,4,7,15,2,0,0,739,1,9,0,0,3,0,0,13,2,36,117,25,0,85,53,2,95,168,67,25,8,57,23,160,2,1,0,14,5,25,0,0,0,4,0,22,3,2
2020-04-02,57,0,4,0,0,32,0,15,17,0,1,4,8,27,2,0,0,818,1,7,0,0,4,0,18,14,1,38,129,32,0,136,71,2,126,144,75,42,5,62,26,163,4,2,0,15,8,30,0,0,0,4,0,27,3,2
2020-04-03,64,0,3,0,1,31,0,15,15,0,1,9,8,35,0,0,0,962,0,6,0,0,4,0,18,16,1,2,131,21,0,105,77,2,118,171,80,41,4,65,27,164,4,2,0,16,6,28,0,0,0,6,0,22,2,2
2020-04-04,60,0,3,0,1,30,0,15,14,0,1,9,8,33,1,0,0,1007,0,5,0,0,5,0,20,16,1,2,143,23,0,126,69,2,138,177,80,43,4,66,28,159,4,2,0,16,7,30,0,0,0,8,0,21,4,2
2020-04-05,72,0,2,0,1,29,0,16,16,0,2,9,9,23,3,0,0,1094,0,5,0,0,15,0,20,16,1,2,144,23,0,129,64,3,146,179,79,46,2,69,31,166,5,8,0,15,6,30,0,0,0,4,0,21,3,1
2020-04-06,79,0,1,0,0,30,0,16,18,0,3,9,9,24,3,0,0,1166,0,8,0,0,4,0,20,16,0,1,145,20,0,129,77,3,148,187,80,31,2,68,34,181,5,6,0,15,6,28,0,0,0,12,0,22,4,1
2020-04-07,76,0,1,0,0,31,0,16,20,0,2,9,9,28,3,0,0,1251,0,6,0,0,3,0,20,18,0,1,143,19,0,129,74,3,146,203,88,31,2,63,41,187,4,5,0,14,6,28,0,0,0,8,0,22,2,2
