Date,Daily_new,Rolling_mean_7_days,Source
2020-01-26,4,NA,open.covid.data
2020-01-27,0,NA,NA
2020-01-28,0,NA,NA
2020-01-29,0,NA,NA
2020-01-30,0,NA,NA
2020-01-31,0,NA,NA
2020-02-01,2,0.857142857142857,open.covid.data
2020-02-02,6,1.14285714285714,open.covid.data
2020-02-03,0,1.14285714285714,NA
2020-02-04,0,1.14285714285714,NA
2020-02-05,0,1.14285714285714,NA
2020-02-06,2,1.42857142857143,open.covid.data
2020-02-07,0,1.42857142857143,NA
2020-02-08,0,1.14285714285714,NA
2020-02-09,0,0.285714285714286,NA
2020-02-10,0,0.285714285714286,NA
2020-02-11,2,0.571428571428571,open.covid.data
2020-02-12,2,0.857142857142857,open.covid.data
2020-02-13,0,0.571428571428571,NA
2020-02-14,0,0.571428571428571,NA
2020-02-15,0,0.571428571428571,NA
2020-02-16,0,0.571428571428571,NA
2020-02-17,0,0.571428571428571,NA
2020-02-18,1,0.428571428571429,open.covid.data
2020-02-19,0,0.142857142857143,NA
2020-02-20,2,0.428571428571429,open.covid.data
2020-02-21,2,0.714285714285714,open.covid.data
2020-02-22,0,0.714285714285714,NA
2020-02-23,0,0.714285714285714,NA
2020-02-24,0,0.714285714285714,NA
2020-02-25,0,0.571428571428571,NA
2020-02-26,0,0.571428571428571,NA
2020-02-27,0,0.285714285714286,NA
2020-02-28,2,0.285714285714286,open.covid.data
2020-02-29,2,0.571428571428571,open.covid.data
2020-03-01,10,2,open.covid.data
2020-03-02,8,3.14285714285714,open.covid.data
2020-03-03,16,5.42857142857143,open.covid.data
2020-03-04,22,8.57142857142857,open.covid.data
2020-03-05,26,12.2857142857143,open.covid.data
2020-03-06,46,18.5714285714286,open.covid.data
2020-03-07,22,21.4285714285714,open.covid.data
2020-03-08,42,26,open.covid.data
2020-03-09,62,33.7142857142857,open.covid.data
2020-03-10,34,36.2857142857143,open.covid.data
2020-03-11,43,39.2857142857143,open.covid.data
2020-03-12,96,49.2857142857143,open.covid.data
2020-03-13,56,50.7142857142857,open.covid.data
2020-03-14,178,73,open.covid.data
2020-03-15,171,91.4285714285714,open.covid.data
2020-03-16,82,94.2857142857143,open.covid.data
2020-03-17,93,102.714285714286,open.covid.data
2020-03-18,675,193,ca.state + open.covid.data
2020-03-19,331,226.571428571429,ca.state + open.covid.data
2020-03-20,485,287.857142857143,ca.state + open.covid.data
2020-03-21,260,299.571428571429,ca.state + open.covid.data
2020-03-22,341,323.857142857143,ca.state + open.covid.data
2020-03-23,429,373.428571428571,ca.state + open.covid.data
2020-03-24,580,443,ca.state + open.covid.data
2020-03-25,489,416.428571428571,ca.state + open.covid.data
2020-03-26,873,493.857142857143,ca.state + open.covid.data
2020-03-27,842,544.857142857143,ca.state + open.covid.data
2020-03-28,640,599.142857142857,ca.state
2020-03-29,1659,787.428571428571,ca.state + open.covid.data
2020-03-30,1169,893.142857142857,ca.state
2020-03-31,1223,985,ca.state
2020-04-01,1036,1063.14285714286,ca.state
2020-04-02,1510,1154.14285714286,ca.state
2020-04-03,1325,1223.14285714286,ca.state
2020-04-04,1412,1333.42857142857,ca.state
2020-04-05,898,1224.71428571429,ca.state
2020-04-06,1529,1276.14285714286,ca.state
2020-04-07,1092,1257.42857142857,ca.state
2020-04-08,1352,1302.57142857143,ca.state
2020-04-09,1163,1253,ca.state
2020-04-10,1143,1227,ca.state
2020-04-11,1179,1193.71428571429,ca.state
2020-04-12,554,1144.57142857143,ca.state
2020-04-13,990,1067.57142857143,ca.state
2020-04-14,1086,1066.71428571429,ca.state
2020-04-15,1758,1124.71428571429,ca.state
